Date,Open,High,Low,Close,Adj Close**,Volume
7-Sep-18,"2,868.26","2,883.81","2,864.12","2,871.68","2,871.68","2,946,270,000"
6-Sep-18,"2,888.64","2,892.05","2,867.29","2,878.05","2,878.05","3,139,590,000"
5-Sep-18,"2,891.59","2,894.21","2,876.92","2,888.60","2,888.60","3,241,250,000"
4-Sep-18,"2,896.96","2,900.18","2,885.13","2,896.72","2,896.72","3,077,060,000"
31-Aug-18,"2,898.37","2,906.32","2,891.73","2,901.52","2,901.52","2,880,260,000"
30-Aug-18,"2,908.94","2,912.46","2,895.22","2,901.13","2,901.13","2,802,180,000"
29-Aug-18,"2,900.62","2,916.50","2,898.40","2,914.04","2,914.04","2,791,860,000"
28-Aug-18,"2,901.45","2,903.77","2,893.50","2,897.52","2,897.52","2,683,190,000"
27-Aug-18,"2,884.69","2,898.25","2,884.69","2,896.74","2,896.74","2,854,080,000"
24-Aug-18,"2,862.35","2,876.16","2,862.35","2,874.69","2,874.69","2,596,190,000"
23-Aug-18,"2,860.29","2,868.78","2,854.03","2,856.98","2,856.98","2,713,910,000"
22-Aug-18,"2,860.99","2,867.54","2,856.05","2,861.82","2,861.82","2,689,560,000"
21-Aug-18,"2,861.51","2,873.23","2,861.32","2,862.96","2,862.96","3,147,140,000"
20-Aug-18,"2,853.93","2,859.76","2,850.62","2,857.05","2,857.05","2,748,020,000"
17-Aug-18,"2,838.32","2,855.63","2,833.73","2,850.13","2,850.13","3,024,100,000"
16-Aug-18,"2,831.44","2,850.49","2,831.44","2,840.69","2,840.69","3,219,880,000"
15-Aug-18,"2,827.95","2,827.95","2,802.49","2,818.37","2,818.37","3,645,070,000"
14-Aug-18,"2,827.88","2,843.11","2,826.58","2,839.96","2,839.96","2,976,970,000"
13-Aug-18,"2,835.46","2,843.40","2,819.88","2,821.93","2,821.93","3,158,450,000"
10-Aug-18,"2,838.90","2,842.20","2,825.81","2,833.28","2,833.28","3,256,040,000"
9-Aug-18,"2,857.19","2,862.48","2,851.98","2,853.58","2,853.58","3,047,050,000"
8-Aug-18,"2,856.79","2,862.44","2,853.09","2,857.70","2,857.70","2,972,200,000"
7-Aug-18,"2,855.92","2,863.43","2,855.92","2,858.45","2,858.45","3,162,770,000"
6-Aug-18,"2,840.29","2,853.29","2,835.98","2,850.40","2,850.40","2,874,540,000"
3-Aug-18,"2,829.62","2,840.38","2,827.37","2,840.35","2,840.35","3,030,390,000"
2-Aug-18,"2,800.48","2,829.91","2,796.34","2,827.22","2,827.22","3,467,380,000"
1-Aug-18,"2,821.17","2,825.83","2,805.85","2,813.36","2,813.36","3,496,990,000"
31-Jul-18,"2,809.73","2,824.46","2,808.06","2,816.29","2,816.29","3,892,100,000"
30-Jul-18,"2,819.00","2,821.74","2,798.11","2,802.60","2,802.60","3,245,770,000"
27-Jul-18,"2,842.35","2,843.17","2,808.34","2,818.82","2,818.82","3,415,710,000"
26-Jul-18,"2,835.49","2,845.57","2,835.26","2,837.44","2,837.44","3,653,330,000"
25-Jul-18,"2,817.73","2,848.03","2,817.73","2,846.07","2,846.07","3,553,010,000"
24-Jul-18,"2,820.68","2,829.99","2,811.12","2,820.40","2,820.40","3,417,530,000"
23-Jul-18,"2,799.17","2,808.61","2,795.14","2,806.98","2,806.98","2,907,430,000"
20-Jul-18,"2,804.55","2,809.70","2,800.01","2,801.83","2,801.83","3,230,210,000"
19-Jul-18,"2,809.37","2,812.05","2,799.77","2,804.49","2,804.49","3,266,700,000"
18-Jul-18,"2,811.35","2,816.76","2,805.89","2,815.62","2,815.62","3,089,780,000"
17-Jul-18,"2,789.34","2,814.19","2,789.24","2,809.55","2,809.55","3,050,730,000"
16-Jul-18,"2,797.36","2,801.19","2,793.39","2,798.43","2,798.43","2,812,230,000"
13-Jul-18,"2,796.93","2,804.53","2,791.69","2,801.31","2,801.31","2,614,000,000"
12-Jul-18,"2,783.14","2,799.22","2,781.53","2,798.29","2,798.29","2,821,690,000"
11-Jul-18,"2,779.82","2,785.91","2,770.77","2,774.02","2,774.02","2,964,740,000"
10-Jul-18,"2,788.56","2,795.58","2,786.24","2,793.84","2,793.84","3,063,850,000"
9-Jul-18,"2,775.62","2,784.65","2,770.73","2,784.17","2,784.17","3,050,040,000"
6-Jul-18,"2,737.68","2,764.41","2,733.52","2,759.82","2,759.82","2,554,780,000"
5-Jul-18,"2,724.19","2,737.83","2,716.02","2,736.61","2,736.61","2,953,420,000"
3-Jul-18,"2,733.27","2,736.58","2,711.16","2,713.22","2,713.22","1,911,470,000"
2-Jul-18,"2,704.95","2,727.26","2,698.95","2,726.71","2,726.71","3,073,650,000"
29-Jun-18,"2,727.13","2,743.26","2,718.03","2,718.37","2,718.37","3,565,620,000"
28-Jun-18,"2,698.69","2,724.34","2,691.99","2,716.31","2,716.31","3,428,140,000"
27-Jun-18,"2,728.45","2,746.09","2,699.38","2,699.63","2,699.63","3,776,090,000"
26-Jun-18,"2,722.12","2,732.91","2,715.60","2,723.06","2,723.06","3,555,090,000"
25-Jun-18,"2,742.94","2,742.94","2,698.67","2,717.07","2,717.07","3,655,080,000"
22-Jun-18,"2,760.79","2,764.17","2,752.68","2,754.88","2,754.88","5,450,550,000"
21-Jun-18,"2,769.28","2,769.28","2,744.39","2,749.76","2,749.76","3,300,060,000"
20-Jun-18,"2,769.73","2,774.86","2,763.91","2,767.32","2,767.32","3,327,600,000"
19-Jun-18,"2,752.01","2,765.05","2,743.19","2,762.59","2,762.59","3,661,470,000"
18-Jun-18,"2,765.79","2,774.99","2,757.12","2,773.75","2,773.75","3,287,150,000"
15-Jun-18,"2,777.78","2,782.81","2,761.73","2,779.66","2,779.66","5,428,790,000"
14-Jun-18,"2,783.21","2,789.06","2,776.52","2,782.49","2,782.49","3,526,890,000"
13-Jun-18,"2,787.94","2,791.47","2,774.65","2,775.63","2,775.63","3,779,230,000"
12-Jun-18,"2,785.60","2,789.80","2,778.78","2,786.85","2,786.85","3,401,010,000"
11-Jun-18,"2,780.18","2,790.21","2,780.17","2,782.00","2,782.00","3,232,330,000"
8-Jun-18,"2,765.84","2,779.39","2,763.59","2,779.03","2,779.03","3,123,210,000"
7-Jun-18,"2,774.84","2,779.90","2,760.16","2,770.37","2,770.37","3,711,330,000"
6-Jun-18,"2,753.25","2,772.39","2,748.46","2,772.35","2,772.35","3,651,640,000"
5-Jun-18,"2,748.46","2,752.61","2,739.51","2,748.80","2,748.80","3,517,790,000"
4-Jun-18,"2,741.67","2,749.16","2,740.54","2,746.87","2,746.87","3,376,510,000"
1-Jun-18,"2,718.70","2,736.93","2,718.70","2,734.62","2,734.62","3,684,130,000"
31-May-18,"2,720.98","2,722.50","2,700.68","2,705.27","2,705.27","4,235,370,000"
30-May-18,"2,702.43","2,729.34","2,702.43","2,724.01","2,724.01","3,561,050,000"
29-May-18,"2,705.11","2,710.67","2,676.81","2,689.86","2,689.86","3,736,890,000"
25-May-18,"2,723.60","2,727.36","2,714.99","2,721.33","2,721.33","2,995,260,000"
24-May-18,"2,730.94","2,731.97","2,707.38","2,727.76","2,727.76","3,256,030,000"
23-May-18,"2,713.98","2,733.33","2,709.54","2,733.29","2,733.29","3,326,290,000"
22-May-18,"2,738.34","2,742.24","2,721.88","2,724.44","2,724.44","3,366,310,000"
21-May-18,"2,735.39","2,739.19","2,725.70","2,733.01","2,733.01","3,019,890,000"
18-May-18,"2,717.35","2,719.50","2,709.18","2,712.97","2,712.97","3,368,690,000"
17-May-18,"2,719.71","2,731.96","2,711.36","2,720.13","2,720.13","3,475,400,000"
16-May-18,"2,712.62","2,727.76","2,712.17","2,722.46","2,722.46","3,202,670,000"
15-May-18,"2,718.59","2,718.59","2,701.91","2,711.45","2,711.45","3,290,680,000"
14-May-18,"2,738.47","2,742.10","2,725.47","2,730.13","2,730.13","2,972,660,000"
11-May-18,"2,722.70","2,732.86","2,717.45","2,727.72","2,727.72","2,862,700,000"
10-May-18,"2,705.02","2,726.11","2,704.54","2,723.07","2,723.07","3,333,050,000"
9-May-18,"2,678.12","2,701.27","2,674.14","2,697.79","2,697.79","3,909,500,000"
8-May-18,"2,670.26","2,676.34","2,655.20","2,671.92","2,671.92","3,717,570,000"
7-May-18,"2,680.34","2,683.35","2,664.70","2,672.63","2,672.63","3,237,960,000"
4-May-18,"2,621.45","2,670.93","2,615.32","2,663.42","2,663.42","3,327,220,000"
3-May-18,"2,628.08","2,637.14","2,594.62","2,629.73","2,629.73","3,851,470,000"
2-May-18,"2,654.24","2,660.87","2,631.70","2,635.67","2,635.67","4,010,770,000"
1-May-18,"2,642.96","2,655.27","2,625.41","2,654.80","2,654.80","3,559,850,000"
30-Apr-18,"2,682.51","2,682.87","2,648.04","2,648.05","2,648.05","3,734,530,000"
27-Apr-18,"2,675.47","2,677.35","2,659.01","2,669.91","2,669.91","3,219,030,000"
26-Apr-18,"2,651.65","2,676.48","2,647.16","2,666.94","2,666.94","3,665,720,000"
25-Apr-18,"2,634.92","2,645.30","2,612.67","2,639.40","2,639.40","3,499,440,000"
24-Apr-18,"2,680.80","2,683.55","2,617.32","2,634.56","2,634.56","3,706,740,000"
23-Apr-18,"2,675.40","2,682.86","2,657.99","2,670.29","2,670.29","3,017,480,000"
20-Apr-18,"2,692.56","2,693.94","2,660.61","2,670.14","2,670.14","3,388,590,000"
19-Apr-18,"2,701.16","2,702.84","2,681.90","2,693.13","2,693.13","3,349,370,000"
18-Apr-18,"2,710.11","2,717.49","2,703.63","2,708.64","2,708.64","3,383,410,000"
17-Apr-18,"2,692.74","2,713.34","2,692.05","2,706.39","2,706.39","3,234,360,000"
16-Apr-18,"2,670.10","2,686.49","2,665.16","2,677.84","2,677.84","3,019,700,000"
13-Apr-18,"2,676.90","2,680.26","2,645.05","2,656.30","2,656.30","2,960,910,000"
12-Apr-18,"2,653.83","2,674.72","2,653.83","2,663.99","2,663.99","3,021,320,000"
11-Apr-18,"2,643.89","2,661.43","2,639.25","2,642.19","2,642.19","3,020,760,000"
10-Apr-18,"2,638.41","2,665.45","2,635.78","2,656.87","2,656.87","3,543,930,000"
9-Apr-18,"2,617.18","2,653.55","2,610.79","2,613.16","2,613.16","3,062,960,000"
6-Apr-18,"2,645.82","2,656.88","2,586.27","2,604.47","2,604.47","3,299,700,000"
5-Apr-18,"2,657.36","2,672.08","2,649.58","2,662.84","2,662.84","3,178,970,000"
4-Apr-18,"2,584.04","2,649.86","2,573.61","2,644.69","2,644.69","3,350,340,000"
3-Apr-18,"2,592.17","2,619.14","2,575.49","2,614.45","2,614.45","3,392,810,000"
2-Apr-18,"2,633.45","2,638.30","2,553.80","2,581.88","2,581.88","3,598,520,000"
29-Mar-18,"2,614.41","2,659.07","2,609.72","2,640.87","2,640.87","3,565,990,000"
28-Mar-18,"2,611.30","2,632.65","2,593.06","2,605.00","2,605.00","3,864,500,000"
27-Mar-18,"2,667.57","2,674.78","2,596.12","2,612.62","2,612.62","3,706,350,000"
26-Mar-18,"2,619.35","2,661.36","2,601.81","2,658.55","2,658.55","3,511,100,000"
23-Mar-18,"2,646.71","2,657.67","2,585.89","2,588.26","2,588.26","3,815,080,000"
22-Mar-18,"2,691.36","2,695.68","2,641.59","2,643.69","2,643.69","3,739,800,000"
21-Mar-18,"2,714.99","2,739.14","2,709.79","2,711.93","2,711.93","3,415,510,000"
20-Mar-18,"2,715.05","2,724.22","2,710.05","2,716.94","2,716.94","3,261,030,000"
19-Mar-18,"2,741.38","2,741.38","2,694.59","2,712.92","2,712.92","3,302,130,000"
16-Mar-18,"2,750.57","2,761.85","2,749.97","2,752.01","2,752.01","5,372,340,000"
15-Mar-18,"2,754.27","2,763.03","2,741.47","2,747.33","2,747.33","3,500,330,000"
14-Mar-18,"2,774.06","2,777.11","2,744.38","2,749.48","2,749.48","3,391,360,000"
13-Mar-18,"2,792.31","2,801.90","2,758.68","2,765.31","2,765.31","3,301,650,000"
12-Mar-18,"2,790.54","2,796.98","2,779.26","2,783.02","2,783.02","3,185,020,000"
9-Mar-18,"2,752.91","2,786.57","2,751.54","2,786.57","2,786.57","3,364,100,000"
8-Mar-18,"2,732.75","2,740.45","2,722.65","2,738.97","2,738.97","3,212,320,000"
7-Mar-18,"2,710.18","2,730.60","2,701.74","2,726.80","2,726.80","3,393,270,000"
6-Mar-18,"2,730.18","2,732.08","2,711.26","2,728.12","2,728.12","3,370,690,000"
5-Mar-18,"2,681.06","2,728.09","2,675.75","2,720.94","2,720.94","3,710,810,000"
2-Mar-18,"2,658.89","2,696.25","2,647.32","2,691.25","2,691.25","3,882,450,000"
1-Mar-18,"2,715.22","2,730.89","2,659.65","2,677.67","2,677.67","4,503,970,000"
28-Feb-18,"2,753.78","2,761.52","2,713.54","2,713.83","2,713.83","4,230,660,000"
27-Feb-18,"2,780.45","2,789.15","2,744.22","2,744.28","2,744.28","3,745,080,000"
26-Feb-18,"2,757.37","2,780.64","2,753.78","2,779.60","2,779.60","3,424,650,000"
23-Feb-18,"2,715.80","2,747.76","2,713.74","2,747.30","2,747.30","3,189,190,000"
22-Feb-18,"2,710.42","2,731.26","2,697.77","2,703.96","2,703.96","3,701,270,000"
21-Feb-18,"2,720.53","2,747.75","2,701.29","2,701.33","2,701.33","3,779,400,000"
20-Feb-18,"2,722.99","2,737.60","2,706.76","2,716.26","2,716.26","3,627,610,000"
16-Feb-18,"2,727.14","2,754.42","2,725.11","2,732.22","2,732.22","3,637,460,000"
15-Feb-18,"2,713.46","2,731.51","2,689.82","2,731.20","2,731.20","3,684,910,000"
14-Feb-18,"2,651.21","2,702.10","2,648.87","2,698.63","2,698.63","4,003,740,000"
13-Feb-18,"2,646.27","2,668.84","2,637.08","2,662.94","2,662.94","3,472,870,000"
12-Feb-18,"2,636.75","2,672.61","2,622.45","2,656.00","2,656.00","4,055,790,000"
9-Feb-18,"2,601.78","2,638.67","2,532.69","2,619.55","2,619.55","5,680,070,000"
8-Feb-18,"2,685.01","2,685.27","2,580.56","2,581.00","2,581.00","5,305,440,000"
7-Feb-18,"2,690.95","2,727.67","2,681.33","2,681.66","2,681.66","4,626,570,000"
6-Feb-18,"2,614.78","2,701.04","2,593.07","2,695.14","2,695.14","5,891,660,000"
5-Feb-18,"2,741.06","2,763.39","2,638.17","2,648.94","2,648.94","5,283,460,000"
2-Feb-18,"2,808.92","2,808.92","2,759.97","2,762.13","2,762.13","4,301,130,000"
1-Feb-18,"2,816.45","2,835.96","2,812.70","2,821.98","2,821.98","3,938,450,000"
31-Jan-18,"2,832.41","2,839.26","2,813.04","2,823.81","2,823.81","4,261,280,000"
30-Jan-18,"2,832.74","2,837.75","2,818.27","2,822.43","2,822.43","3,990,650,000"
29-Jan-18,"2,867.23","2,870.62","2,851.48","2,853.53","2,853.53","3,573,830,000"
26-Jan-18,"2,847.48","2,872.87","2,846.18","2,872.87","2,872.87","3,443,230,000"
25-Jan-18,"2,846.24","2,848.56","2,830.94","2,839.25","2,839.25","3,835,150,000"
24-Jan-18,"2,845.42","2,852.97","2,824.81","2,837.54","2,837.54","4,014,070,000"
23-Jan-18,"2,835.05","2,842.24","2,830.59","2,839.13","2,839.13","3,519,650,000"
22-Jan-18,"2,809.16","2,833.03","2,808.12","2,832.97","2,832.97","3,471,780,000"
19-Jan-18,"2,802.60","2,810.33","2,798.08","2,810.30","2,810.30","3,639,430,000"
18-Jan-18,"2,802.40","2,805.83","2,792.56","2,798.03","2,798.03","3,681,470,000"
17-Jan-18,"2,784.99","2,807.04","2,778.38","2,802.56","2,802.56","3,778,050,000"
16-Jan-18,"2,798.96","2,807.54","2,768.64","2,776.42","2,776.42","4,325,970,000"
12-Jan-18,"2,770.18","2,787.85","2,769.64","2,786.24","2,786.24","3,573,970,000"
11-Jan-18,"2,752.97","2,767.56","2,752.78","2,767.56","2,767.56","3,641,320,000"
10-Jan-18,"2,745.55","2,750.80","2,736.06","2,748.23","2,748.23","3,576,350,000"
9-Jan-18,"2,751.15","2,759.14","2,747.86","2,751.29","2,751.29","3,453,480,000"
8-Jan-18,"2,742.67","2,748.51","2,737.60","2,747.71","2,747.71","3,242,650,000"
5-Jan-18,"2,731.33","2,743.45","2,727.92","2,743.15","2,743.15","3,236,620,000"
4-Jan-18,"2,719.31","2,729.29","2,719.07","2,723.99","2,723.99","3,695,260,000"
3-Jan-18,"2,697.85","2,714.37","2,697.77","2,713.06","2,713.06","3,538,660,000"
2-Jan-18,"2,683.73","2,695.89","2,682.36","2,695.81","2,695.81","3,367,250,000"
